업종명,인허가일자,업소명,소재지(도로명),소재지(지번),업태명,데이터기준일
일반음식점,1971-03-29,영화반점,"대전광역시 대덕구 신탄진동로23번길 46 (신탄진동,(1층))",대전광역시 대덕구 신탄진동 139-17 (1층) ,중국식,2024-05-20
일반음식점,1976-11-15,대덕식당,대전광역시 대덕구 신탄진로738번길 1 (신탄진동),대전광역시 대덕구 신탄진동 295-14 ,한식,2024-05-20
일반음식점,1977-06-21,우리식당,"대전광역시 대덕구 대화15길 118, 1층 (대화동)",대전광역시 대덕구 대화동 35-883 ,한식,2024-05-20
일반음식점,1979-01-24,계룡식당,"대전광역시 대덕구 대전로 1371, 1층 (읍내동)",대전광역시 대덕구 읍내동 244-25 ,한식,2024-05-20
일반음식점,1979-05-15,오가네포차,"대전광역시 대덕구 신탄진동로7번길 74, 1층 (신탄진동)",대전광역시 대덕구 신탄진동 121-25 (1층) ,기타,2024-05-20
일반음식점,1982-06-02,신천지식당,대전광역시 대덕구 대청로 508-8 (미호동),대전광역시 대덕구 미호동 270-5 ,한식,2024-05-20
일반음식점,1982-06-19,고관가든,대전광역시 대덕구 대청로 508 (미호동),대전광역시 대덕구 미호동 270-7 ,한식,2024-05-20
일반음식점,1982-07-01,대마성,대전광역시 대덕구 대화로 119 (대화동),대전광역시 대덕구 대화동 316-3 ,한식,2024-05-20
일반음식점,1982-11-15,호반의집,"대전광역시 대덕구 대청로 493-28 (미호동,나동)",대전광역시 대덕구 미호동 288-1 나동 ,한식,2024-05-20
일반음식점,1983-03-02,가마솥추어탕식당,대전광역시 대덕구 신탄진로778번길 38 (신탄진동),대전광역시 대덕구 신탄진동 170-23 ,한식,2024-05-20
일반음식점,1984-02-24,우리식당,대전광역시 대덕구 석봉로30번안길 11 (석봉동),대전광역시 대덕구 석봉동 182-27 ,한식,2024-05-20
일반음식점,1984-12-20,행복한양푼이,대전광역시 대덕구 신탄진로796번길 8 (신탄진동),대전광역시 대덕구 신탄진동 152-3 ,한식,2024-05-20
일반음식점,1984-07-13,양양요일백반,대전광역시 대덕구 한남로137번길 54 (오정동),대전광역시 대덕구 오정동 487-7 ,한식,2024-05-20
일반음식점,1985-07-06,공주쌍신집칼국수 대청호점,"대전광역시 대덕구 대청로 572, 1층 (미호동)",대전광역시 대덕구 미호동 90-2 ,한식,2024-05-20
일반음식점,1985-09-26,야호정,대전광역시 대덕구 대청호수로 1869 (삼정동),대전광역시 대덕구 삼정동 240-14 ,한식,2024-05-20
일반음식점,1985-10-28,진주송이돼지국밥,대전광역시 대덕구 대덕대로1448번길 11 (목상동),대전광역시 대덕구 목상동 146-14 ,중국식,2024-05-20
일반음식점,1985-10-25,구들마루,"대전광역시 대덕구 대전로 1009, 1층 (오정동)",대전광역시 대덕구 오정동 483-6 (1층) ,한식,2024-05-20
일반음식점,1986-09-23,미훈식당,대전광역시 대덕구 대화11길 4 (대화동),대전광역시 대덕구 대화동 37-18 ,한식,2024-05-20
일반음식점,1986-12-23,선희네식당,대전광역시 대덕구 대덕대로1605번길 7 (석봉동),대전광역시 대덕구 석봉동 201-3 ,한식,2024-05-20
일반음식점,1986-02-26,소담,"대전광역시 대덕구 신탄진북로32번길 7-9, 1층 (신탄진동)",대전광역시 대덕구 신탄진동 18-5 ,한식,2024-05-20
일반음식점,1987-02-07,나루터장어,대전광역시 대덕구 대청로 264 (용호동),대전광역시 대덕구 용호동 39-13 ,한식,2024-05-20
일반음식점,1987-05-21,유진힐스,,대전광역시 대덕구 신탄진동 산 1-2 ,한식,2024-05-20
