r_name,address,소재지지번주소,classification,영업장면적
채향,"서울특별시 서초구 효령로53길 23, 1층 (서초동)",서울특별시 서초구 서초동  1589번지 13호  1층,한식,139
서초곰탕24시,"서울특별시 서초구 반포대로 12, 1층 (서초동)",서울특별시 서초구 서초동  1451번지 77호  ,한식,187.21
남도찌개,"서울특별시 서초구 반포대로28길 71-17, 1층 (서초동)",서울특별시 서초구 서초동  1571번지 20호  1층,한식,100.75
나주댁 부엌,"서울특별시 서초구 마방로10길 34-11, 1층 (양재동)",서울특별시 서초구 양재동  269번지 4호  ,한식,45
성덕,"서울특별시 서초구 서초중앙로 38, 지하1층 (서초동)",서울특별시 서초구 서초동  1603번지 20호  지하1층,중국식,116.96
포본PhoBon(양재점),"서울특별시 서초구 강남대로27길 7-21, 102호 (양재동)",서울특별시 서초구 양재동  67번지 7호  -102,기타,113.99
왕금성(이수역점),"서울특별시 서초구 서초대로 3-4, 2층 203호 (방배동, 방배디오슈페리움1)",서울특별시 서초구 방배동  3001번지 2호  방배디오슈페리움1 2층203호,중국식,223.23
금빛,"서울특별시 서초구 방배중앙로29길 3, 2층 (방배동)",서울특별시 서초구 방배동  761번지 2호  2층-202,경양식,136
장털보한우곰탕,"서울특별시 서초구 서초대로52길 22, 수정빌딩 1층 (서초동)",서울특별시 서초구 서초동  1657번지 8호  수정빌딩 1층,한식,191.05
이여곰탕,"서울특별시 서초구 서초대로46길 19-15, 1층 (서초동)",서울특별시 서초구 서초동  1555번지 9호  1층,한식,92.4
감토,"서울특별시 서초구 마방로10길 18-20, 1층 (양재동)",서울특별시 서초구 양재동  264번지 11호  1층,한식,74.86
낙천정,"서울특별시 서초구 효령로49길 19, (서초동,2층,3층)","서울특별시 서초구 서초동  1531번지 3호  2층,3층",한식,299.96
선화의 삼겹살 무한리필 방배역점,"서울특별시 서초구 효령로31길 7, 1층 (방배동)",서울특별시 서초구 방배동  912번지 9호  1층,한식,130.93
땅끝마을,"서울특별시 서초구 법원로2길 7-4, 동용빌딩 지하1층 101호,105호 (서초동)",서울특별시 서초구 서초동  1712번지 2호  동용빌딩-101,한식,160
등촌샤브칼국수,"서울특별시 서초구 반포대로28길 28, 초석빌딩 1층 101호 (서초동)",서울특별시 서초구 서초동  1550번지 10호  초석빌딩 1층-101,한식,198
차돌풍(방배점),"서울특별시 서초구 효령로31길 19, 1층 (방배동)",서울특별시 서초구 방배동  911번지 18호  1층,식육(숯불구이),102.14
한우등심한판,"서울특별시 서초구 서초대로77길 45, 306호,307호 (서초동)",서울특별시 서초구 서초동  1308번지 4호  실버타운오피스텔,한식,99.5
네모네모 정육식당,"서울특별시 서초구 서초중앙로20길 34-5, (서초동, 1층)",서울특별시 서초구 서초동  1665번지 1호  1층,한식,175.77
장모사랑,"서울특별시 서초구 남부순환로350길 36, 프렌닥터 지하1층 101호 (양재동)",서울특별시 서초구 양재동  13번지 9호  프렌닥터 지하1층 101호,한식,122.04
소곰집 양재점,"서울특별시 서초구 남부순환로350길 38, 1층 (양재동)",서울특별시 서초구 양재동  13번지 10호  1층,한식,141.9
훌탐라수면,"서울특별시 서초구 강남대로10길 7, 1층 (양재동)",서울특별시 서초구 양재동  327번지 18호  1층,기타,188.49
